Date,Open,High,Low,Close,Adj Close,Volume
3/1/18,1513.599976,1518.48999,1465,1493.449951,1493.449951,6835200
3/2/18,1469.099976,1501.050049,1455.01001,1500.25,1500.25,6587600
3/5/18,1494.23999,1525.380005,1481,1523.609985,1523.609985,5233900
3/6/18,1533.199951,1542.130005,1528,1537.640015,1537.640015,4561700
3/7/18,1526.52002,1545.900024,1522.51001,1545,1545,4174100
3/8/18,1550,1554.880005,1545.25,1551.859985,1551.859985,3862600
3/9/18,1563.5,1578.939941,1559.079956,1578.890015,1578.890015,4534300
3/12/18,1592.599976,1605.329956,1586.699951,1598.390015,1598.390015,5174200
3/13/18,1615.959961,1617.540039,1578.01001,1588.180054,1588.180054,6531900
3/14/18,1597,1606.439941,1590.890015,1591,1591,4259400
3/15/18,1595,1596.910034,1578.109985,1582.319946,1582.319946,4069700
3/16/18,1583.449951,1589.439941,1567.5,1571.680054,1571.680054,5425000
3/19/18,1554.530029,1561.660034,1525.349976,1544.930054,1544.930054,6580800
3/20/18,1550.339966,1587,1545.410034,1586.51001,1586.51001,4581600
3/21/18,1586.449951,1590,1563.170044,1581.859985,1581.859985,4750800
3/22/18,1565.469971,1573.849976,1542.400024,1544.920044,1544.920044,6320600
3/23/18,1539.01001,1549.02002,1495.359985,1495.560059,1495.560059,8006000
3/26/18,1530,1556.98999,1499.25,1555.859985,1555.859985,5624700
3/27/18,1572.400024,1575.969971,1482.319946,1497.050049,1497.050049,6999600
3/28/18,1447,1455.900024,1386.170044,1431.420044,1431.420044,13705300
3/29/18,1406,1455.469971,1365.199951,1447.339966,1447.339966,12581100
